Jahr;Anz_Arbeitslose_BW;Anz_Gemeldete_Arbeitsstellen_BW;Aend_Gemeldete_Arbeitsstellen_BW;Anz_Arbeitslose_NRW;Anz_Gemeldete_Arbeitsstellen_NRW;Aend_Gemeldete_Arbeitsstellen_NRW
1991;159318;77904;;561331;68229;
1992;191970;64122;-13782;580473;66995;-1234
1993;281496;37952;-26170;703198;52304;-14691
1994;333416;37827;-125;784510;53530;1226
1995;328298;44777;6950;778946;61289;7759
1996;353919;44838;61;826959;64922;3633
1997;382008;48993;4155;884479;68587;3665
1998;351464;62728;13735;856061;82768;14181
1999;324710;69880;7152;830878;96001;13233
2000;281500;78669;8789;777746;98518;2517
2001;264301;73514;-5155;766351;95927;-2591
2002;295005;57496;-16018;812464;78304;-17623
2003;336881;37759;-19737;879964;51511;-26793
2004;340943;29907;-7852;898807;40941;-10570
2005;385267;34493;4586;1057649;51063;10122
2006;348697;45123;10630;1012773;69463;18400
2007;271663;57991;12868;851822;84804;15341
2008;228646;59237;1246;757238;80396;-4408
2009;284168;39958;-19279;800404;61847;-18549
2010;272656;50969;11011;779582;73643;11796
2011;226918;73278;22309;728797;97156;23513
2012;222202;74844;1566;733307;98028;872
2013;233956;63506;-11338;762784;86416;-11612
2014;230372;71974;8468;763213;99525;13109
2015;227098;82009;10035;744228;116396;16871
2016;226421;92333;10324;725653;134939;18543
2017;212837;102096;9763;701219;154990;20051
2018;195128;112360;10264;650768;169997;15007
2019;196950;106185;-6175;635486;163012;-6985
2020;259940;72963;-33222;733740;128660;-34352
2021;247774;88314;15351;718220;143458;14798
2022;223119;111188;22874;668502;169110;25652

